發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,天候,速限,道路型態,事故位置
106,7,9,2,28,2,07信義區,信義區永吉路30巷與永吉路口口,0,2,4,H02,2,26,2,8,50,4,1
106,7,9,2,28,2,07信義區,信義區永吉路30巷與永吉路口口,0,2,5,H02,1,30,4,8,50,4,1
106,7,9,15,4,2,07信義區,信義區永吉路30巷158弄與永吉路30巷口,0,1,1,C03,1,25,2,6,40,4,1
106,7,9,15,4,2,07信義區,信義區永吉路30巷158弄與永吉路30巷口,0,1,3,H02,2,25,4,6,40,4,1
106,7,9,15,4,2,07信義區,信義區永吉路30巷158弄與永吉路30巷口,0,1,2,B03,1,50,3,6,40,4,1
106,7,10,14,10,2,07信義區,信義區基隆路1段102巷與基隆路1段口,0,1,1,B03,1,32,3,8,50,3,2
106,7,10,14,10,2,07信義區,信義區基隆路1段102巷與基隆路1段口,0,1,2,C03,1,25,2,8,50,3,2
106,7,21,13,18,2,07信義區,信義區永吉路326巷21號,0,1,1,F01,2,22,2,8,50,14,9
106,7,21,13,18,2,07信義區,信義區永吉路326巷21號,0,1,2,C03,2,56,3,8,50,14,9
106,7,27,16,4,2,07信義區,信義區和平東路3段341巷與和平東路3段391巷8弄口,0,1,1,C03,1,64,2,8,30,4,1
106,7,27,16,4,2,07信義區,信義區和平東路3段341巷與和平東路3段391巷8弄口,0,1,2,B03,2,37,3,8,30,4,1
106,7,28,11,40,2,07信義區,信義區松智路與松壽路口,0,1,1,B01,1,54,3,8,50,4,1
106,7,28,11,40,2,07信義區,信義區松智路與松壽路口,0,1,2,C03,2,22,2,8,50,4,1
106,7,28,11,40,2,07信義區,信義區松智路與松壽路口,0,1,3,A04,1,45,3,8,50,4,1
106,7,23,20,30,2,07信義區,信義區基隆路1段35巷7弄與松隆路123巷口,0,1,1,C03,1,53,2,8,40,4,1
106,7,23,20,30,2,07信義區,信義區基隆路1段35巷7弄與松隆路123巷口,0,1,2,B01,1,37,3,8,40,4,1
106,7,24,17,28,2,07信義區,信義區市民大道6段與中坡北路口,0,2,1,C03,1,25,2,8,40,4,1
106,7,24,17,28,2,07信義區,信義區市民大道6段與中坡北路口,0,2,2,C03,2,61,2,8,40,4,1
106,7,20,10,25,2,07信義區,信義區市民高架永吉路匝道(東向西),0,1,1,B11,2,38,3,8,80,10,16
106,7,20,10,25,2,07信義區,信義區市民高架永吉路匝道(東向西),0,1,2,H02,2,58,2,8,80,10,16
106,7,25,13,26,2,07信義區,信義區忠孝東路5段與忠孝東路5段743巷口,0,1,1,B02,1,65,3,8,50,5,1
106,7,25,13,26,2,07信義區,信義區忠孝東路5段與忠孝東路5段743巷口,0,1,2,C03,1,34,2,8,50,5,1
106,7,31,11,34,2,07信義區,信義區仁愛路4段與光復南路口,0,1,1,B03,1,24,3,7,50,4,1
106,7,31,11,34,2,07信義區,信義區仁愛路4段與光復南路口,0,1,2,C03,2,65,2,7,50,4,1
106,8,10,14,46,2,07信義區,信義區信義路6段26巷與信義路6段口口,0,1,1,B03,1,29,3,8,50,4,1
106,8,10,14,46,2,07信義區,信義區信義路6段26巷與信義路6段口口,0,1,2,C04,1,32,2,8,50,4,1
106,8,17,5,49,2,07信義區,信義區基隆路2段與吳興街口,0,1,1,F01,2,53,2,8,50,4,1
106,8,17,5,49,2,07信義區,信義區基隆路2段與吳興街口,0,1,2,B01,1,53,3,8,50,4,1
106,8,17,22,28,2,07信義區,信義區基隆路1段與東興路口,0,1,1,B02,1,53,2,8,50,4,1
106,8,17,22,28,2,07信義區,信義區基隆路1段與東興路口,0,1,2,,3,0,,8,50,4,1
106,8,18,9,52,2,07信義區,信義區和平東路3段(莊敬隧道出口),0,1,1,C03,1,26,2,8,40,12,9
106,8,18,9,52,2,07信義區,信義區和平東路3段(莊敬隧道出口),0,1,2,,3,0,,8,40,12,9
106,6,25,21,10,2,07信義區,信義區和平東路3段東向西莊敬隧道出口路段,0,1,1,C03,1,49,2,8,50,12,9
106,6,25,21,10,2,07信義區,信義區和平東路3段東向西莊敬隧道出口路段,0,1,2,,3,0,,8,50,12,9
106,6,28,23,17,2,07信義區,信義區信義路5段象山捷運站東往西,0,1,2,G03,1,46,3,8,50,14,9
106,6,28,23,17,2,07信義區,信義區信義路5段象山捷運站東往西,0,1,1,C03,1,36,2,8,50,14,9
106,6,28,23,17,2,07信義區,信義區信義路5段象山捷運站東往西,0,1,3,G03,1,38,3,8,50,14,9
106,6,28,23,17,2,07信義區,信義區信義路5段象山捷運站東往西,0,1,4,,3,0,,8,50,14,9
106,6,30,8,13,2,07信義區,信義區和平東路3段391巷,0,1,1,B03,1,67,3,8,30,3,1
106,6,30,8,13,2,07信義區,信義區和平東路3段391巷,0,1,2,C03,1,55,2,8,30,3,1
106,6,30,10,5,2,07信義區,信義區市民大道6段與松山路口,0,1,1,C04,1,61,4,8,50,4,1
106,6,30,10,5,2,07信義區,信義區市民大道6段與松山路口,0,1,2,C03,2,23,2,8,50,4,1
106,7,4,15,55,2,07信義區,信義區松隆路與虎林街30巷口,0,1,1,B11,1,28,3,6,50,5,1
106,7,4,15,55,2,07信義區,信義區松隆路與虎林街30巷口,0,1,2,C03,2,44,2,6,50,5,1
106,7,4,15,55,2,07信義區,信義區松隆路與虎林街30巷口,0,1,3,B11,1,39,4,6,50,5,1
106,7,5,12,42,2,07信義區,信義區基隆路1段147巷與基隆路 1段口,0,1,1,C03,1,24,2,8,50,3,2
106,7,5,12,42,2,07信義區,信義區基隆路1段147巷與基隆路 1段口,0,1,2,B12,1,47,3,8,50,3,2
106,7,28,17,12,2,07信義區,信義區信義路5段與松德路口,0,1,1,B03,1,58,4,6,50,4,4
106,7,28,17,12,2,07信義區,信義區信義路5段與松德路口,0,1,2,C04,2,53,4,6,50,4,4
106,7,28,17,12,2,07信義區,信義區信義路5段與松德路口,0,1,3,H02,1,17,2,6,50,4,4
106,8,3,17,55,2,07信義區,信義區吳興街156巷與吳興街156巷2弄口,0,1,1,C03,1,54,3,6,30,4,1
106,8,3,17,55,2,07信義區,信義區吳興街156巷與吳興街156巷2弄口,0,1,2,C03,1,52,2,6,30,4,1
106,8,11,8,30,2,07信義區,信義區忠孝東路5段490號,0,1,1,B03,1,41,3,8,50,14,8
106,8,11,8,30,2,07信義區,信義區忠孝東路5段490號,0,1,2,F01,2,67,2,8,50,14,8
106,8,15,23,37,2,07信義區,信義區松壽路12號,0,2,1,C03,1,21,2,8,50,14,8
106,8,15,23,37,2,07信義區,信義區松壽路12號,0,2,2,C03,1,19,2,8,50,14,8
106,8,15,23,37,2,07信義區,信義區松智路83號,0,1,1,B03,1,22,3,8,50,14,8
106,8,15,23,37,2,07信義區,信義區松智路83號,0,1,2,C03,1,69,2,8,50,14,8
106,7,1,5,16,2,07信義區,信義區基隆路2段與和平東路3段口,0,1,1,B03,1,38,3,8,50,16,9
106,7,1,5,16,2,07信義區,信義區基隆路2段與和平東路3段口,0,1,2,C03,2,56,2,8,50,16,9
106,7,2,0,3,2,07信義區,信義區信義路5段與松智路口,0,2,1,C03,1,38,2,8,50,4,1
106,7,2,0,3,2,07信義區,信義區信義路5段與松智路口,0,2,2,C03,1,24,2,8,50,4,1
106,7,3,8,7,2,07信義區,信義區嘉興街239號,0,1,1,B03,1,31,3,8,50,14,9
106,7,3,8,7,2,07信義區,信義區嘉興街239號,0,1,2,F01,1,68,2,8,50,14,9
106,7,8,12,4,2,07信義區,信義區基隆路2段與光復南路口,0,1,1,F01,1,25,2,8,50,4,1
106,7,8,12,4,2,07信義區,信義區基隆路2段與光復南路口,0,1,2,C03,1,46,3,8,50,4,1
106,7,8,13,6,2,07信義區,信義區松智路與松高路口口,0,1,1,B12,1,45,3,8,50,3,1
106,7,8,13,6,2,07信義區,信義區松智路與松高路口口,0,1,2,C03,1,20,2,8,50,3,1
106,7,24,19,42,2,07信義區,信義區光復南路447-2號與基隆路1段364巷口,0,1,1,B03,2,40,3,8,40,3,1
106,7,24,19,42,2,07信義區,信義區光復南路447-2號與基隆路1段364巷口,0,1,2,C03,2,40,2,8,40,3,1
106,7,25,13,54,2,07信義區,信義區信義路5段與松智路口,0,2,1,C03,1,21,2,8,50,4,1
106,7,25,13,54,2,07信義區,信義區信義路5段與松智路口,0,2,2,C03,1,29,2,8,50,4,1
106,7,25,23,27,2,07信義區,信義區松智路與松廉路口,0,1,1,C03,2,34,2,8,50,3,2
106,7,25,23,27,2,07信義區,信義區松智路與松廉路口,0,1,2,B01,1,44,3,8,50,3,2
106,7,26,10,25,2,07信義區,信義區吳興街225巷與莊敬路口,0,1,1,B01,1,56,3,8,50,4,1
106,7,26,10,25,2,07信義區,信義區吳興街225巷與莊敬路口,0,1,2,C03,2,26,2,8,50,4,1
106,8,6,17,25,2,07信義區,信義區松隆路200號與松隆路口,0,1,1,F01,2,65,4,8,50,4,2
106,8,6,17,25,2,07信義區,信義區松隆路200號與松隆路口,0,1,2,C03,1,29,2,8,50,4,2
106,8,12,18,12,2,07信義區,信義區松山路465巷與忠孝東路5段524巷口,0,1,1,C03,1,29,3,8,30,4,1
